question_id,question,expected_route,acceptable_routes,guardrail_result,actual_route,expected_document_id,top1_document_id,document_match,top1_distance,top2_distance,top3_distance,retrieved_count,pass,notes,domain_category,guardrail_reason,suggested_topics
G-R01,전세로 이사할 예정인데 보증금을 지키려면 전입신고와 확정일자를 언제 해야 하나요?,grounded_rag,grounded_rag,in_scope,grounded_rag,3029,law_3029,TRUE,0.407318,0.497995,0.543512,3,TRUE,,real_estate_rental,strong_keyword,임차하여 살고 있는 집이 경매로 넘어갔다고 합니다. 보증금을 돌려받을 수 있을까요?; 이사하고 바빠서 전입신고를 6개월 늦게 한 사이에 저당권이 설정되었습니다. 집에 경매신청이 들어올 경우 전세보증금을 돌려받을 수 있을까요?
G-R02,전셋집 보일러가 고장 났는데 수리비는 집주인과 세입자 중 누가 내야 하나요?,grounded_rag,grounded_rag,in_scope,grounded_rag,2481,law_2481,TRUE,0.429791,0.566759,0.573734,3,TRUE,,real_estate_rental,strong_keyword,"임차인인 제가 장기수선충당금을 내야하나요?; 전세로 아파트에 살면서 관리비를 납부하고 있는데, 이 중 일부는 이사갈 때 집주인으로부터 돌려받을 수 있다고 들었는데, 맞나요?"
G-R03,계약 중 집주인이 집을 팔았습니다. 새 집주인이 나가라고 하면 바로 나가야 하나요?,grounded_rag,grounded_rag,in_scope,grounded_rag,2465,law_2465,TRUE,0.447434,0.509959,0.571262,3,TRUE,,real_estate_rental,strong_keyword,전세계약 기간 중 지방으로 이사 가게 되었어요. 집주인은 새로운 임차인을 구하고 이사하라면서 중개보수도 제가 부담해야 한다고 합니다. 정말 제가 내야 하나요?; 임대차 계약기간 만료 후 보증금을 돌려받지 못해 그 집에서 계속 거주할 경우 월세를 내야하나요?
G-R04,계약이 끝났는데 보증금을 못 받아 계속 살고 있습니다. 이 기간에도 월세를 내야 하나요?,grounded_rag,grounded_rag,in_scope,grounded_rag,2478,law_2478,TRUE,0.369508,0.493305,0.501677,3,TRUE,,real_estate_rental,strong_keyword,임대인과 임차인 모두 계약갱신에 대한 별다른 말이 없는 경우 계약은 어떻게 되나요?; 임차한 집에서 8개월째 거주 중인데 집주인이 주변 시세가 올랐다며 보증금을 올려달라고 합니다. 올려줘야 하나요?
G-R05,보증금을 못 받은 채 이사해야 합니다. 임차권등기명령 신청 비용이 얼마나 드나요?,grounded_rag,grounded_rag,in_scope,grounded_rag,3023,law_3023,TRUE,0.327093,0.437286,0.506545,3,TRUE,,real_estate_rental,strong_keyword,이사하고 바빠서 전입신고를 6개월 늦게 한 사이에 저당권이 설정되었습니다. 집에 경매신청이 들어올 경우 전세보증금을 돌려받을 수 있을까요?
G-R06,어떤 조건을 충족해야 전세사기피해자로 인정받을 수 있나요?,grounded_rag,grounded_rag,in_scope,grounded_rag,6439,law_6439,TRUE,0.445859,0.492747,0.557829,3,TRUE,,real_estate_rental,strong_keyword,"전세피해확인서는 왜 제출해야 하며, 어디서 발급하는 건가요?; 전세피해자가 피해 주택을 취득할 경우 받게 되는 세금 감면 혜택을 알고 싶습니다."
G-R07,전세보증금반환보증의 보증료를 지원받는 사업이 있나요?,grounded_rag,grounded_rag,in_scope,grounded_rag,6445,law_6445,TRUE,0.405034,0.518046,0.524976,3,TRUE,,real_estate_rental,strong_keyword,전세사기를 겪고나니 전셋집을 구하기가 두렵습니다. 나라에서 주택을 낙찰받아 임대해주는 제도가 있다고 들었는데 자세히 알 수 있을까요?; 주택도시기금에서 지원하는 저금리 전ㆍ월세 자금 대출 상품에는 어떤것들이 있나요?
G-R08,국민임대나 영구임대 같은 공공임대주택은 종류별로 무엇이 다른가요?,grounded_rag,grounded_rag,in_scope,grounded_rag,6068,law_6068,TRUE,0.381773,0.485838,0.514335,3,TRUE,,real_estate_rental,strong_keyword,지역별 공공임대주택 입주 정보는 어디서 찾을 수 있나요?; 공공분양과 민간분양은 어떤 차이가 있나요?
G-R09,공공임대 모집공고의 무주택세대구성원은 누구를 말하나요?,grounded_rag,grounded_rag,in_scope,grounded_rag,6069,law_6069,TRUE,0.311915,0.463317,0.468883,3,TRUE,,real_estate_rental,strong_keyword,"현재 결혼 한지 3년 되었고, 한 명의 입양한 자녀를 두고 있습니다. 30년 이상의 장기 임대 주택에 입주하기 위한 자격이 될까요?; 통합공공임대주택의 자격 요건이 어떻게 되는지 궁금합니다."
G-R10,공공분양과 민간분양은 어떤 점이 다른가요?,grounded_rag,grounded_rag,in_scope,grounded_rag,6108,law_6108,TRUE,0.389535,0.546921,0.575733,3,TRUE,,real_estate_rental,strong_keyword,사전청약 당첨자는 입주예정자와 사전당첨자 중 어떤게 맞는건가요?; 수도권에 있는 공공분양 일반공급은 어떤 순서로 입주자를 선정하나요?
G-R11,청약 서류를 잘못 제출해 부적격 당첨 취소가 되면 어떤 불이익이 있나요?,grounded_rag,grounded_rag,in_scope,grounded_rag,6117,law_6117,TRUE,0.395341,0.589420,0.624090,3,TRUE,,unknown,uncertain_vector_pass,특별공급 청약 예비입주자의 선정 방식과 당첨절차가 궁금합니다.
G-R12,집주인이 동의하지 않아도 월세 현금영수증을 신청할 수 있나요?,grounded_rag,grounded_rag,in_scope,grounded_rag,3025,law_3025,TRUE,0.353144,0.528644,0.557000,3,TRUE,,real_estate_rental,strong_keyword,지급하고 있는 월세에 대해 소득공제를 받을 수 있나요?; 주인의 허락 없이 빈 방을 다른 사람에게 월세를 줘도 될까요?
