대분류코드,대분류명,소분류코드,소분류명,백문일련번호,주제,질문,답변,원문링크
84,부동산/임대차,169,주택임대차,2482,다른 사람의 주택을 이용하는 방법,다른 사람의 주택을 이용하는 방법은 어떠한 것들이 있나요?,"다른 사람의 주택을 이용하는 방법에는 일반적으로 다음과 같이 네 가지의 형태로 구분할 수 있습니다.
[표]
구분 | 내용 | 법률상 의미
전세권 | 전세금을 주고, 전세권 등기를 하고 다른 사람의 주택을 이용하는 방법 | 전세권
전세 (미등기 전세) | 전세금을 주고 차임을 주지 않으나, 등기를 하지 않고 다른 사람의 주택을 이용하는 방법 | 임대차
반전세 또는 월세 | 보증금을 주고, 차임도 매월 지급하여 다른 사람의 주택을 이용하는 방법 | 임대차
사글세 | 임차기간 동안의 차임 전부를 미리 지급하고 다른 사람의 주택을 이용하는 방법 | 임대차
[표 끝]
◇ 전세권과 임대차의 비교
[표]
구 분 | 전세권 | 임대차
성질 | 물권 | 채권
등기 여부 | 필수 | 선택적
사용대가의 지급 방법 | 전세금 지급 | 보증금 또는 월차임 지급
양도 및 전대 가능 여부 | 임대인의 동의 없이 가능 | 임대인의 동의가 필요
[표 끝]",https://easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=629&ccfNo=1&cciNo=1&cnpClsNo=1
84,부동산/임대차,169,주택임대차,2468,동거남이 사망한 경우,남자친구와 살고 있던 전셋집에 함께 살다 갑작스러운 사고로 남자친구가 죽었습니다. 저는 이 집에서 바로 나가야 하나요?,"그 집에서 계속 살 수 있습니다.
임차인 사망 당시 상속인이 임차인과 함께 임차주택에서 가정공동생활을 하고 있지 않았던 경우에는 임차주택에서 가정공동생활을 하던 사실상의 혼인관계에 있는 사람과 2촌 이내의 친족이 공동으로 임차인의 권리와 의무를 승계합니다.
따라서 위 질문의 경우와 같이 사실혼 관계에 있던 질문자는 사망한 남자 부모님과 함께 임차권을 상속법에 따른 지분을 상속받습니다.
◇ 임차인이 사망하고 상속인이 없는 경우
☞ 임차인이 상속인 없이 사망한 경우에는 그 임차주택에서 가정공동생활을 하던 사실상의 혼인관계에 있는 사람이 단독으로 임차인으로서의 권리와 의무를 승계합니다.
◇ 임차인이 사망하고 상속인이 있는 경우
☞ 상속인이 임차주택에서 가정공동생활을 하고 있었던 경우에는 「민법」에 따라 상속권자가 상속하게 되고, 사실상의 혼인관계에 있는 사람은 임차권을 승계할 수 없습니다.
☞ 상속인이 임차주택에서 가정공동생활을 하고 있지 않았던 경우에는, 임차주택에서 가정공동생활을 하던 사실상의 혼인관계에 있는 사람과 사망한 자의 2촌 이내의 친족이 공동으로 임차인의 권리와 의무를 승계합니다.
만일, 2촌 이내의 친족이 없는 경우에는 임차주택에서 가정공동생활을 하던 사실상의 혼인관계에 있는 사람이 단독으로 임차권을 승계하게 됩니다.",https://easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=629&ccfNo=4&cciNo=3&cnpClsNo=3
84,부동산/임대차,169,주택임대차,2475,올려준 전세금의 약점,우선변제권을 보유한 임차인인데 전세금이 증액된 경우 증액분도 우선변제권을 자동으로 획득하나요?,"증액분에 대한 확정일자를 별도로 받아야 합니다.
임대인의 증액청구에 따라 차임이나 보증금을 올려주었거나 재계약을 통해서 올려준 경우에는 그 증액된 부분을 위한 임대차계약서를 작성하여 그 계약서에 확정일자를 받아 두어야만 그 날부터 후순위권리자보다 증액부분에 대해서 우선하여 변제받을 수 있습니다.
◇ 담보물권자에 대한 대항력
☞ 대항력을 갖춘 임차인이 저당권설정등기 이후에 임대인과의 합의에 따라 보증금을 증액한 경우, 보증금 중 증액부분에 관해서는 저당권에 기하여 건물을 경락받은 소유자에게 대항할 수 없게 됩니다.
☞ 따라서 차임이나 보증금을 증액하는 경우에는 부동산등기부을 확인하여 임차주택에 저당권 등 담보물권이 새롭게 설정되어 있지는 않은지 확인한 후 증액 여부를 결정하는 것이 안전합니다.",https://easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=629&ccfNo=4&cciNo=1&cnpClsNo=2
84,부동산/임대차,169,주택임대차,2473,전세금을 내리고 싶다면?,"계약 당시 보증금 증감청구 금지 특약을 하였는데, 이런 경우에도 보증금 감액을 청구할 수 있을까요?","할 수 있습니다.
보증금 증액 금지 특약이 있는 경우에는 이에 따라 임대인은 증액청구를 할 수 없지만, 임차인은 감액금지특약을 하였더라도 경제사정의 변경 등을 원인으로 감액 청구를 할 수 있습니다.
◇ 차임·보증금 감액 청구
☞ 임차한 주택에 대한 조세, 공과금, 그 밖의 부담의 감소나 경제사정의 변동으로 기존 보증금이 적절하지 않게 된 경우에는 임차인은 보증금의 감액을 청구할 수 있습니다.
☞ 임대차계약이 갱신되는 경우에도 임대차가 존속하고 있는 것으로 보아야 하므로 감액청구를 할 수 있습니다.
◇ 감액금지특약
☞ 증액 금지의 특약은 유효하지만 감액금지 특약은 임차인에게 불리하기 때문에 효력이 없습니다.
◇ 감액 청구의 범위
☞ 증액청구는 약정한 차임·보증금의 20분의 1을 넘지 못합니다.
☞ 감액청구의 경우에는 이러한 기준이 없기 때문에 실제 민사조정된 경우나 판결을 보면 5% ~ 10% 선부터 20%까지 감액되는 경우도 있습니다.
◇ 합의가 되지 않는 경우
☞ 당사자 사이에 상당하다고 주장하는 감액에 관해 합의가 되지 않는 경우에는 법원에 차임 등의 감액청구의 소를 제기하거나, 민사조정 신청을 통해 그 상당액을 확정할 수 있습니다.",https://easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=629&ccfNo=4&cciNo=1&cnpClsNo=2
84,부동산/임대차,169,주택임대차,2479,살림집 딸린 가게,"살림집이 딸린 가게를 임대했는데, 해당 건물이 경매로 넘어갈 경우 제 보증금을 돌려받을 수 있을까요?","해결방법이 두 가지 있습니다. 「상가건물임대차보호법」상의 권리를 주장하거나 「주택임대차보호법」상의 권리를 주장하실 수 있습니다.
◇ 「상가건물임대차보호법」
☞ 슈퍼를 개업하면서 사업자등록을 하고 관할 세무서에서 확정일자를 받았다면 임대차보증금에 대해 일정비율 우선변제권을 갖게 됩니다.
☞ 다만, 보증금이 「상가건물 임대차보호법」에 따른 지역별 보증금 이내여야 보호받을 수 있습니다.
◇ 「주택임대차보호법」
☞ 질문과 같이 방 2개가 딸린 점포는 해당 건물의 건축대장이 비록 상가로 표시되어 있더라도 점포에서 주거용으로 사용하는 부분이 상당한 면적이고, 점포에 딸린 방이 임차인의 유일한 주거공간이라면 「주택임대차보호법」을 통해 보호받을 여지가 많습니다.
- 「주택임대차보호법」은 주택, 즉 “주거용 건물”의 전부 또는 일부에 대해 임대차하는 경우에 적용되고, 그 임차주택의 일부를 주거 외의 목적으로 사용하는 경우에도 적용됩니다.
- “주거용 건물”에 해당되는지 여부는 임대차 목적물의 공부상의 표시만을 기준으로 하는 것은 아니고, 실제 어떤 용도로 사용하고 있는지에 따라 판단하게 됩니다.
- 또한, 무허가 건물이나 미등기 건물을 주거를 목적으로 임대차하는 경우에도 「주택임대차보호법」이 적용됩니다.
- 다만, 무허가 건물이 철거되는 경우에는 보증금을 돌려받기 힘들어지므로 주의할 필요가 있습니다.
☞ 다만, 임차인이 임의로 개조하여 주거용으로 사용한 경우에는 보호받을 수 없으며, 임대인의 승낙을 얻어 주거용으로 개조한 경우에만 보호받을 수 있습니다.",https://easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=629&ccfNo=1&cciNo=2&cnpClsNo=1
84,부동산/임대차,169,주택임대차,2474,세 든 사람이 또 세 준 경우,주인의 허락 없이 빈 방을 다른 사람에게 월세를 줘도 될까요?,"가능합니다.
「민법」은 임차인이 임대인의 동의 없이 임차권을 양도하지 못하도록 제한하고 있고, 만약 임대인의 동의 없이 임차인이 임차권을 양도한 경우 임대인이 임대차계약을 해지할 수 있도록 하고 있습니다.
다만, 임차한 집 전체가 아닌 그 일부만을 다른 사람에게 세를 준 경우에는 임대인의 동의가 필요 없으며, 임대인은 임대차계약을 해지할 수도 없고 전차인을 쫓아낼 수도 없습니다.
따라서 위의 질문과 같이 방 1개를 친구에게 월세를 준 것은 주인의 허락을 받을 필요가 없습니다.
◇ 임차 건물 전체를 양도: 임대인이 동의한 경우
☞ 임차인은 종전의 임대차관계에서 벗어나며 아무런 권리의무를 가지지 않게 되고, 양수인이 새로운 임차인으로서 임대인과 임대차관계를 가지게 됩니다.
◇ 임차 건물 전체를 양도: 임대인이 동의하지 않은 경우
☞ 임차인이 임대인의 동의 없이 임차권을 양도하면 원칙적으로 그 효력이 없으므로, 임차인이나 양수인은 임차권의 양도를 가지고 제3자에게는 물론 임대인에게도 대항할 수 없습니다.
☞ 따라서 임차인이 대항력을 취득하였다고 하더라도 임차권의 양도에 따른 양수인은 임차인의 대항력을 원용하거나 자신의 고유한 대항력을 취득할 수 없습니다.
☞ 이 경우 원래의 임차인도 제3자에게 임차권을 양도함으로써 임차주택의 점유를 중단하였다면 대항력이 상실됩니다.",https://easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=629&ccfNo=4&cciNo=3&cnpClsNo=1
84,부동산/임대차,169,주택임대차,2469,진짜 집주인이 따로 있다면?,이사 후 주민등록 이전 후 거주하던 중 다른 사람이 집주인은 본인이라며 이사갈 것을 요구합니다. 이사해야 하나요?,"건물을 인도(이사)받은 상태이고, 그 주소로 주민등록을 완료한 경우에는 크게 걱정할 필요가 없습니다.
해당 주택의 등기부상의 소유자인 명의수탁자는 대외적으로 적법한 소유자로 인정되고, 그가 행한 주택에 대한 처분 및 관리행위는 유효하기 때문입니다.
설사 명의신탁자(진짜 주인)가 명의신탁을 해지하고 소유권이전등기를 마친 후 주택의 반환을 요구해도 임차인은 그 요구에 따를 필요가 없습니다.
왜냐하면, 이 경우 명의신탁자는 명의수탁자의 지위를 승계한 것으로 보기 때문입니다.
◇ 명의신탁
☞ 소유관계를 공시(公示)하도록 되어 있는 재산에 대하여 소유자 명의를 진짜 소유자가 아닌 다른 사람 이름으로 해놓는 것을 말합니다.
☞
명의신탁이 된 재산의 소유관계는 신탁자(진짜 소유자)와 수탁자 사이에서는 소유권이 그대로 신탁자에게 있지만, 대외관계 또는 제3자에 대한 관계에서는 소유권이 수탁자(가짜 소유자)에게 있습니다.
◇ 명의수탁자와의 임대차 계약 체결
☞ 주택의 명의수탁자와 임대차계약을 체결하는 경우에는 명의수탁자가 등기부상의 소유자와 동일한지만 확인하면 됩니다.
☞
명의수탁자는 명의신탁의 법리에 따라 대외적으로 적법한 소유자로 인정되고, 그가 행한 신탁 목적물에 대한 처분 및 관리행위는 유효하기 때문입니다.",https://easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=629&ccfNo=2&cciNo=2&cnpClsNo=1
84,부동산/임대차,169,주택임대차,2471,압류,"임대차계약을 하고 살고 있는 집이 압류되었는데, 집을 비워줘야 하나요?","압류만 되어 있는 상태라면 당장 집을 비워 줄 필요는 없습니다. 또한 대항력을 갖춘 경우라면 추후 경매가 되어도 비워주지 않아도 됩니다.
해당 임대차는 그 등기가 없더라도, 임차인이 임대차 계약 후 ① 주택을 인도받고 ② 주민등록을 마친 때에는 그 다음날부터 대항력이 생깁니다. 따라서 그 후의 권리자에게 대항할 수 있습니다.
대항력을 보유한 임차인은 제3자, 즉 임차 주택의 양수인, 임대할 권리를 승계한 사람, 그 밖에 임차 주택에 관해 이해관계를 가지고 있는 사람에게 임대차의 내용을 주장할 수 있습니다.
따라서 살고 있는 집이 압류되었고, 추후 경매가 된다 하더라도 대항력을 갖춘 경우에는 걱정하실 필요가 없습니다.
다만, 선순위권자(예를 들어 대항력이 발생하는 일자보다 앞서 등기가 되어 있는 담보권자가 있는 경우)가 있는 경우에는 대항력을 갖추었다 하더라도 경매 시 문제가 발생할 수 있으니 이를 확인해야 합니다.
◇ 대항력
☞ “대항력”이란 임차인이 제3자 즉 임차 주택의 양수인, 임대할 권리를 승계한 사람, 그 밖에 임차주택에 관해 이해관계를 가지고 있는 사람에 대하여 임대차의 내용을 주장할 수 있는 법률상의 힘을 말합니다.
☞ 임대차는 임대차 등기를 하지 않더라도, 임차인이 ① 주택의 인도(이사)와 ② 주민등록을 마친 때에는 그 다음날부터 대항력이 생깁니다.
◇ 주택의 인도
☞ “주택의 인도”란 점유의 이전을 말하는데, 주택에 대한 사실상의 지배가 임대인으로부터 임차인에게로 이전하는 것을 말합니다. 즉 임차인이 입주해서 살고 있는 것을 뜻합니다.
☞ 만약 실제로 임차인이 임차 주택으로 이사를 해서 거주하지 않고 있다면 「주택임대차보호법」의 보호를 받을 수 없게 됩니다.",https://easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=629&ccfNo=2&cciNo=3&cnpClsNo=1
84,부동산/임대차,169,주택임대차,2477,틀린 주소로 낭패 보는 경우,등기부상의 주소와 주민등록상의 주소가 다를 경우 어떻게 되나요?,"전입신고 한 번지와 임차주택의 등기부상의 번지가 다른 경우 그 임차인은 「주택임대차보호법」의 대항요건을 갖추고 있지 않기 때문에 보호를 받을 수 없게 됩니다.
공동주택(아파트, 연립, 다세대주택)의 번지, 동·호수를 누락했거나 잘못 적은 경우나 대문에 적힌 호수와 등기부에 적힌 호수가 같은지 확인하지 않고 대문의 호수로 전입신고한 경우가 여기에 해당합니다.
다만, 다가구 주택의 경우에는 단독주택에 속하므로 호수를 기재하지 않아도 「주택임대차보호법」의 보호를 받을 수 있습니다.
◇ 전입신고 시 유의사항
☞ 전입신고를 하기 전에 반드시 부동산등기사항증명서를 발급받아서 번지, 동, 호수 등을 확인한 후에 전입신고를 해야 기재오류로 인한 손해를 막을 수 있습니다.
☞ 담당공무원의 착오에 의한 기재 잘못은 대항력 발생에 영향력이 없습니다.
◇ 신축 중인 주택에 대한 전입신고
☞ 이 경우 나중에 준공검사가 끝나서 건물등기부가 작성되면 그 등기사항증명서를 발급받아 동·호수를 다시 확인해야 합니다.",https://easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=629&ccfNo=2&cciNo=3&cnpClsNo=1
84,부동산/임대차,169,주택임대차,2461,집주인의 부인,집주인이 바쁘다며 자신의 부인이랑 임대차 계약을 체결하라고 합니다. 이렇게 계약해도 될까요?,"주택 소유자의 부인일지라도, 그 부인 자신이 소유자로부터 계약 체결에 관한 위임을 받았다는 것을 증명하지 못하는 이상 그 계약의 안전성은 보장되지 않습니다.
따라서 불가피하게 주택 소유자의 부인과 임대차 계약을 체결해야 하는 경우에는 반드시 소유 주택에 대한 임대차에 관한 위임장과 주택 소유자의 인감증명서를 요구해야 합니다.
◇ 부부의 일상가사대리권
☞ 부부는 일상적인 가사에 관해 서로가 서로를 대리할 수 있습니다.
“일상적인 가사”란 부부의 공동생활에 통상적으로 필요한 식료품 구입, 일용품 구입, 가옥의 월세 지급 등과 같은 의식주에 관한 사무, 교육비·의료비나 자녀 양육비의 지출에 관한 사무 등을 말합니다.
그러나 일상생활비로서 객관적으로 타당한 범위를 넘어선 금전 차용이나 가옥 임대, 부동산 처분 행위 등은 일상적인 가사의 범위에 속하지 않습니다.
◇ 계약 당사자 확인(임대인 확인)
☞ 주택의 소유자와 계약을 체결하는 경우에는 소유자의 주민등록증으로 등기부상 소유자의 인적사항과 일치하는지를 확인해야 합니다.
☞ 주택 소유자의 대리인과 임대차계약을 체결하는 경우에는, 위임장과 주택 소유자의 인감증명서를 반드시 요구해야 합니다.
① 위임장 부동산의 소재지와 소유자 이름 및 연락처, 계약의 목적, 대리인 이름·주소 및 주민번호, 계약의 모든 사항을 위임한다는 취지가 기재되고 연월일이 기재된 후 위임인(소유자)의 인감이 날인되어 있어야 합니다.
② 인감증명서 위임장에 찍힌 위임인(주택 소유자)의 도장과 임대차 계약서에 찍을 도장이 인감증명서에 찍힌 도장과 동일해야 법적으로 문제가 발생하지 않습니다.",https://easylaw.go.kr/CSP/CnpClsMain.laf?popMenu=ov&csmSeq=629&ccfNo=2&cciNo=2&cnpClsNo=1
